id,Количество комнат,Площадь дома,Площадь участка,Этажей в доме,Категория земель,Год постройки,Материал стен,Санузел,Ремонт,Электричество,Отопление,Водоснабжение,Газ,Канализация,Интернет и ТВ,Парковка,Транспортная доступность,Способ продажи,Расстояние от МКАД,price,description_raw,seller,category,lat,lon,Инфраструктура,Расстояние до центра города,Терраса или веранда,Для отдыха,Коммуникации,description,address
109147246,5,210.0,20.0,2,индивидуальное жилищное строительство (ИЖС),2020.0,кирпич,в доме,косметический,,,,,,Wi-Fi,парковочное место,асфальтированная дорога,,,28500000,"Кирпичный дом
Звукоизоляция
Мягкая черепица
Пластиковые окна 
Газ
Автономная канализация
Автономное водоснабжение
Прекрасный яблоневый сад
Удобный подъезд к участку
Удобный съезд на Каширское шоссе
Видное д,Тырычево",Агентство,Коттеджи,55.56279,37.693193,"магазин, аптека, детский сад, школа",0.0,,,,кирпичный дом звукоизоляция мягкий черепица пластиковый окно газ автономный канализация автономный водоснабжение прекрасный яблоневый сад удобный подъезд участок удобный съезд каширский шоссе видный д,Новокаширское шоссе
749921374,8,253.0,27.0,3,индивидуальное жилищное строительство (ИЖС),2010.0,бревно,в доме,дизайнерский,есть,"жидкотопливный котёл, печь, камин",скважина,по границе участка,септик,телевидение,,остановка общественного транспорта,,,30000000,"Бревенчатый дом с авторской отделкой, готов к заселению, меблирован, на опушке живописного бора, рядом Волга, круглогодичное проживание, все коммуникации, отопление -дизель, дрова, в деревню заведен магистральный газ и стоит ГРП, подключение домов планируется в осень 23 года. Все документы оформлены, имеются кадастровые номера на землю и строения. 
1-й этаж - прихожая, с/у с ванной, гостинная с камином, кухня.
2-й этаж- 3 спальни, с/у с душевой кабиной, холл.
3-й этаж 4 спальни, с/у. Подвал - котельная и отапливаемое светлое помещение. На реке удобный спуск с колес плавсредств в воду, акватория с прилегающими к Волге реками - 200 км, рыбалка, охота. На участке баня- гостевой дом ( 1-й этаж - комната отдыха с камином, парная с каменной печью, с/у с душевой , 2-й этаж - спальня ) , гараж- домик охраны,беседка с барбекю,печкой и казаном, водопровод по участку, ландшафтный дизайн,освещение, детская площадка, плодовые деревья и огородик...Рядом академ город Дубна и вся инфраструктура.",,Дома,56.8053760404,37.252487158,магазин,102.0,,,,бревенчатый дом авторский отделка готовый заселение меблировать опушка живописный бор рядом волга круглогодичный проживание весь коммуникация отопление дизель дрова деревня заводить магистральный газ стоять ГРП подключение дом планироваться осень 23 год весь документ оформлять иметься кадастровый номер земля строение первый этаж прихожая санузел ванна гостинный камин кухня второй этаж 3 спальня санузел душевая кабина холл третий этаж 4 спальня санузел подвал котельная отапливать светлый помещение река удобный спуск колесо плавсредства вода акватория прилегать волга река 200 километр рыбалка охота участок баня гостевой дом первый этаж комната отдых камин парной каменный печь санузел душевая второй этаж спальня гараж домик охрана барбекю казан водопровод участок ландшафтный дизайн детский площадка плодовый дерево огородик академ город дубна весь инфраструктура,Дмитровское шоссе
4014924213,4,150.0,8.5,2,индивидуальное жилищное строительство (ИЖС),2024.0,брус,в доме,евро,есть,электрическое,скважина,по границе участка,,"Wi-Fi, телевидение",парковочное место,остановка общественного транспорта,возможна ипотека,,15000000,"Продаётся новый жилой дом 150 кв м,🏡 на участке 8,5 соток. 

-Дом по каркасной технологии, утепление полов и крыши 200 , стены 150, крыша металлочерепица, на винтовых бетонированных сваях 2.5 м., двухкамерные окна.

Внешняя отделка халберг.

- Планировка: 

1 этаж- тамбур, котельная, холл, спальня, с/у, кухня-гостиная с выходом на террасу , терраса во двор. 

2 этаж- холл, 3 спальни, с/у.

- Коммуникации: свет 9 кВт .

-Бойлер -85л.холодная и горячая вода.

-Канализация септик на 5 человек .

-Скважина 45м.

-Отопление-водяные тёплые полы на первом этаже от котла. 

- Участок ровный, сухой, огорожен забором,ворота,калитка.

-Гарантия на дом и все виды работ от застройщика после продажи!

- Полное юридическое сопровождение сделки. Ипотека любой сложности/одобрение.",Агентство,Дома,55.138254812984655,37.59128238465132,"магазин, аптека, детский сад, школа",49.0,,,,продаваться новый жилой дом 150 м² участок 8 5 сотка дом каркасный технология утепление пол крыша 200 стена 150 крыша металлочерепица винтовой бетонированный свая 2 5 метр двухкамерный окно внешний отделка халберг планировка 1 этаж тамбур котельная холл спальня санузел кухня гостиная выход терраса терраса двор 2 этаж холл 3 спальня санузел коммуникация свет 9 квт бойлер 85 литр холодный горячий вода канализация септик 5 человек скважина 45 м отопление водяной теплый пол первый этаж котел участок ровный сухой огораживать забор гарантия дом весь вид работа застройщик продажа полный юридический сопровождение сделка ипотека любой сложность одобрение,Симферопольское шоссе
1029200202,10 и больше,450.0,9.0,4 и больше,индивидуальное жилищное строительство (ИЖС),2013.0,кирпич,"в доме, на улице",евро,есть,газовое,скважина,в доме,септик,"Wi-Fi, телевидение",гараж,"асфальтированная дорога, остановка общественного транспорта, железнодорожная станция",,,47000000,"Продается 4-х этажный кирпичный дом в коттеджном посёлке г. Королёва, мкрн. Первомайский (10 км. от МКАД). До центра Москвы можно доехать за 30 минут. 
 Посёлок охраняемый, заезд только через шлагбаум. Рядом лес и речка Клязьма. Прекрасное место для жизни и отдыха. МОЖНО ПОД КОММЕРЦИЮ (мини отель, хостел, детский сад и т д.) 
Продается без мебели.
Все документы в полном порядке. 
В доме свет, газ, вода скважина + колодец, канализация септик. Установлена противопожарная система. В доме  4 санузла. Дом построен из высококачественных материалов, толщина стен 60 см., зимой прогревается очень легко, летом держит приятную прохладу. В доме 5 спален (по 17 м2), просторный зал (50 м2), кухня с тёплым полом (30 м2), 3 санузла: дорогая испанская плитка, немецкая, шведская и испанская сантехника. В доме также есть зимний сад, две мансарды  и просторное цокольное помещение, которое можно использовать под бассейн. Большой гараж с автоматическими воротами и навес под террасу. Участок 9 соток. Плодовые 10-летние деревья и кустарники: яблоня, груша, смородина черная, красная и белая черноплодная рябина, слива, вишня, - всё сажали сами. Из прочих насаждений сирень и хвойные деревья туи, ели высокие,  много цветов.
Торг уместен.",,Коттеджи,55.943159,37.892133,"магазин, аптека, детский сад, школа",12.0,есть,,,продаваться четвертый этажный кирпичный дом коттеджный поселок город королева мкрн первомайский 10 километр мкад поселок охранять заезд шлагбаум рядом лес речка клязьма прекрасный место жизнь отдых коммерция мини отель хостел детский сад тысяча деревня продаваться мебель весь документ полный порядок дом свет газ вода скважина плюс колодец канализация септик устанавливать противопожарный система дом 4 санузел дом построить высококачественный материал толщина стена 60 сантиметр зима прогреваться очень легко лето держать приятный прохлада дом 5 спальня 17 м² просторный зал 50 м² кухня теплый пол 30 м² 3 санузел дорогой испанский плитка немецкий шведский испанский сантехника дом также зимний сад мансарда просторный цокольный помещение который использовать бассейн большой гараж автоматический ворота навес терраса участок 9 сотка плодовый 10 летний дерево кустарник яблоня груша смородина черный красный белый черноплодный рябина слива вишня сажать прочий насаждение сирень хвойный дерево туя есть высокий цвет торг уместный,Ярославское шоссе
1064304410,2,25.0,20.0,1,индивидуальное жилищное строительство (ИЖС),,бревно,на улице,требует ремонта,,,,,,телевидение,,"асфальтированная дорога, остановка общественного транспорта",,,3450000,"Продам  деревянный дом 25кв м.с баней 54 кв м. . ПМЖ с участком 20 соток в д. Заречье. 98 км по Минскому шоссе от Москвы и 7 км до Можайска.  Вся земля оформлена в собственность официально.  Собственник один.  Хороший подъезд на авто (асфальт). Хорошее транспортное сообщение.  Красивые живописные места.Рядом река Протва ,лес .Газ в перспективе.",Частное лицо,Дома,55.414578,36.064825,"магазин, аптека, детский сад, школа",90.0,,,,продавать деревянный дом 25 м² баня 54 м² ПМЖ участок 20 сотка деревня заречье 98 километр минский шоссе москва 7 километр можайск весь земля оформлять собственность официально собственник хороший подъезд авто асфальт хороший транспортный сообщение красивый живописный место река протва перспектива,Минское шоссе
1170718224,2,30.0,15.0,1,индивидуальное жилищное строительство (ИЖС),,бревно,,требует ремонта,,,,,,,,"асфальтированная дорога, остановка общественного транспорта",,,800000,"В Егорьевском р-оне, деревне Алферово, ул. Горького продается на участке 15 соток жилой бревенчатый дом , пл. 29.8 кв. м. Отопление печное (2 печки - русская и буржуйка), вода в колодце, эл-во подведено, газ по границе участка. Хорошее транспортное сообщение, круглогодичный подъезд, деревня жилая, рядом лес (грибы, ягоды), несколько водоёмов. Хорошее место для дачного отдыха, а также постоянного проживания (есть прописка).

139 км от МКАД по Егорьевскому шоссе. Расстояние Егорьевск - Алфёрово по трассе составляет 41 км. 
Ближайшая школа и детский сад в посёлке Рязановский в 7-ми км от деревни Алфёрово.",Частное лицо,Дома,55.16287,39.480337,магазин,118.0,,,,егорьевский рубль деревня алферов улица горький продаваться участок 15 сотка жилой бревенчатый дом пл 29 8 м² отопление печной 2 печка русский буржуйка вода колодец эл подводить газ граница участок хороший транспортный сообщение круглогодичный подъезд деревня жилой рядом лес гриб ягода несколько водоем хороший место дачный отдых также постоянный проживание прописка 139 километр мкад егорьевский шоссе расстояние егорьевск алферов трасса составлять 41 километр близкий школа детский сад поселок рязановский седьмой километр деревня алферов,Новорязанское шоссе
1290737146,5,250.0,15.0,2,индивидуальное жилищное строительство (ИЖС),,кирпич,в доме,требует ремонта,,,,,,Wi-Fi,парковочное место,"асфальтированная дорога, остановка общественного транспорта",,,20000000,"Дом находится в самом центре города Озёры. На участок можно заехать с двух параллельных улиц. Газифицирован, централизованная канализация и централизованное водоснабжение. В доме проведены электромонтаж, вентиляция, шпатлёвка,  отопление с тёплым полом(керамогранит). 
Подробности по телефону.",Частное лицо,Дома,54.8561240574128,38.5597207497389,"магазин, аптека, школа",98.0,,,,дом находиться самый центр город озеры участок заезжать параллельный улица газифицировать централизованный канализация централизованный водоснабжение дом проводить электромонтаж вентиляция шпатлевка отопление теплый пол керамогранит подробность телефон,Каширское шоссе
1254651117,2,79.3,19.0,1,индивидуальное жилищное строительство (ИЖС),,бревно,,евро,,,,,,,,,,,2200000,"Все вопросы по телефону
Владимирская область,гусь-хрустальный район,деревня Тасино.
Продам дом в трех шагах от леса на участке 19 соток.
В доме есте вода (холодная,горячая), стиральная машинка, 2 печки (одна кирпичная, вторая металическая под батареи ( пока не настроена). Есть баня, которая используется как помывачная. 2 колодца , хороший большой новый сарай+дровник.
Все вопросы на почту или по телефону. Торг уместен. Дом под прописку.
В 5 минутах от ж/д станции Тасино Казанское вокзал",Частное лицо,Дома,55.5138887414252,40.1912780544085,,149.0,,,,весь вопрос телефон владимирский область хрустальный район тасино продавать дом шаг лес участок 19 сотка дом вода холодный стиральный машинка 2 печка кирпичный второй металлический батарея пока настраивать баня который использоваться помывочный 2 колодец хороший большой новый сарай плюс дровник весь вопрос почта телефон торг уместный дом прописка 5 минута железнодорожный станция тасино казанский вокзал,Егорьевское шоссе
1532145575,4,288.0,19.0,2,индивидуальное жилищное строительство (ИЖС),,кирпич,в доме,евро,есть,газовое,скважина,в доме,станция биоочистки,"Wi-Fi, телевидение",парковочное место,"асфальтированная дорога, остановка общественного транспорта, железнодорожная станция",,,53000000,"ПРЕДЛОДЕНИЕ ОТ  
СОБСТВЕННИКА!!! 
Продам кирпичный коттедж для круглогодичного проживания в стародачном месте. Коттедж с мрамором и лепниной, на  участке  19 соток. Коттедж полностью готов к проживанию. На 1-м этаже прекрасная гостиная, мраморные полы, кухня с панорамными окнами и выходом на летнюю веранду, санузел с душевой и небольшая спальная комната. На 2-м этаже 3-и спальни, ванная комната, постирочная комната, гардеробная. Коммуникации: электричество 15 кВт, три фазы, газ, вода из собственной скважины, септик. Развитая инфраструктура: магазины в шаговой доступности, школа, детский садик, детские площадки, лес. Удобная транспортная доступность как личным, так и общественным транспортом
Полная стоимость в ДКП.
Торг возможен.",Частное лицо,Дома,56.001876,37.795484,"магазин, аптека, детский сад, школа",14.0,,,,предложение собственник продавать кирпичный коттедж круглогодичный проживание стародачный место коттедж мрамор лепнина участок 19 сотка коттедж полностью готовый проживание 1 метр этаж прекрасный гостиная мраморный пол кухня панорамный окно выход летний веранда санузел душевая небольшой спальная комната 2 метр этаж 3 спальня ванный комната постирочный комната гардеробная коммуникация электричество 15 квт фаза газ вода собственный скважина септик развитый инфраструктура магазин шаговый доступность школа детский садик детский площадка лес удобный транспортный доступность личный общественный транспорт полный стоимость ДКП торг возможный,Алтуфьевское шоссе
1410332230,2,42.5,4.3,2,садовое некоммерческое товарищество (СНТ),1990.0,кирпич,на улице,косметический,есть,,нет,нет,нет,,парковочное место,"асфальтированная дорога, остановка общественного транспорта, железнодорожная станция",,,3500000,"Московская область. Чеховский район д. Масловка, 65 километр Симферопольского шоссе, СНТ ""Металлист 1"". Участок 4,3 сотки. Дом 2 этажа, 1 - этаж кирпичный, 2 - деревянный, подвал под домом 3*3*2, хоз блок (как летняя кухня), плодовые кустарники и деревья, круглогодичный подъезд. Развита инфраструктура, рядом водоём, 3 ж/д станции, 2 магазина, автобусная остановка в шаговой доступности. Собственник. Торг возможен при осмотре. Посредников не беспокоить.",Частное лицо,Дачи,55.219478,37.50681,магазин,41.0,,,,московский область чеховский район деревня масловка 65 километр симферопольский шоссе СНТ металлист 1 участок 4 3 сотка дом 2 этаж 1 этаж кирпичный 2 деревянный подвал дом 3 3 2 хоз блок летний кухня плодовый кустарник дерево круглогодичный подъезд развитый инфраструктура рядом водоем 3 железнодорожный станция 2 магазин автобусный остановка шаговый доступность собственник торг возможный осмотр посредник беспокоить,Симферопольское шоссе
